流浪地球‎ (2019),郭帆 , 屈楚萧 , 吴京 , 李光洁 , 吴孟达 , 赵今麦 , 隋凯 , 屈菁菁 , 张亦驰
疯狂的外星人‎ (2019), 黄渤 , 沈腾 , 汤姆·派福瑞 , 马修·莫里森 , 徐峥 , 于和伟 , 雷佳音 , 刘桦
我不是药神‎ (2018),文牧野 , 徐峥 , 王传君 , 周一围 , 谭卓 , 章宇 , 杨新鸣 , 王佳佳 , 王砚辉
一出好戏‎ (2018),黄渤 , 舒淇 , 王宝强 , 张艺兴 , 于和伟 , 王迅 , 李勤勤 , 李又麟
疯狂的石头‎ (2006), 郭涛 , 刘桦 , 连晋 , 黄渤 , 徐峥 , 优恵 , 罗兰  , 王迅
老炮儿‎ (2015),管虎 , 冯小刚 , 许晴 , 张涵予 , 刘桦 , 李易峰 , 吴亦凡 , 梁静 , 白举纲
无人区‎ (2013), 徐峥 , 黄渤 , 余男 , 多布杰 , 王双宝 , 巴多 , 杨新鸣 , 郭虹
心花路放‎ (2014), 黄渤 , 徐峥 , 袁泉 , 周冬雨 , 陶慧 , 岳小军 , 沈腾 , 张俪
疯狂的赛车‎ (2009), 黄渤 , 戎祥 , 九孔 , 徐峥 , 王双宝 , 巴多 , 董立范 , 高捷
桃姐‎ (2011),许鞍华 , 叶德娴 , 刘德华 , 秦海璐 , 秦沛 , 黄秋生 , 王馥荔 , 朱慧敏 , 江美仪
英雄本色2018‎ (2018),丁晟 , 王凯 , 马天宇 , 王大陆 , 余皑磊 , 林雪 , 吴樾 , 李梦 , 张艺上
黄金大劫案‎ (2012), 雷佳音 , 陶虹 , 程媛媛 , 山崎敬一 , 郭涛 , 范伟 , 孙淳 , 刘桦
将爱情进行到底‎ (2011),张一白 , 李亚鹏 , 徐静蕾 , 王学兵 , 何洁 , 程伊 , 崔达治 , 优恵 , 陈明
锵锵三人行‎ (1998),毕蜂 , 窦文涛 , 梁文道 , 许子东 , 马家辉 , 竹幼婷 , 查建英 , 周轶君 , 林玮婕
刀见笑‎ (2010),乌尔善 , 安藤政信 , 张雨绮 , 游本昌 , 刘晓晔 , 徐冲 , 韩鹏翼 , 刘桦 , 宁浩
好戏一出‎ (2018),黄渤 , 舒淇 , 王宝强 , 张艺兴 , 于和伟 , 王迅 , 李勤勤 , 李又麟
香火‎ (2003), 李强
我和我的祖国‎ (2019),管虎 , 张一白 , 徐峥 , 薛晓路 , 宁浩 , 文牧野 , 陈凯歌
今晚80后脱口秀‎ (2012),叶烽 , 王自健 , 中孝介 , 宁浩 , 李东学 , 黄龄 , 宋丹丹 , 王雷 , 范明
奇迹世界‎ (2007), 黄渤 , 王玮 , 聂鑫 , 王迅 , 岳小军
绿草地‎ (2005), 达瓦 , 毕力格 , 戈利班
黄金大劫案(电视剧)‎ (2022),钟澍佳 , 杜淳 , 马苏 , 李若嘉 , 武强 , 王德顺 , 李亚天 , 谢园 , 张殿伦
迷失‎ (2010), 蔡鹭 , 毕秀茹 , 唐笑笑
甜美生活‎ (2019),牛涵 , 徐帆 , 卢靖姗 , 艾莉克希娅·拉斯姆森 , 黄经汉 , 朱珠 , 田沅 , 徐刚 , 薛宝鹤
星期四星期三‎ (2001), 关宇 , 傅羽鸽 , 常爱军 , 郝宜珊
王者清风‎ (2013),何澍培 , 何晟铭 , 蒋梦婕 , 高洋 , 吕佳容 , 王琳 , 汤镇业 , 汤镇宗 , 吴岱融
2008分之1‎ (2008),谢晋 , 陈凯歌 , 关锦鹏 , 侯咏 , 陆川 , 宁浩 , 张一白 , 王光利 , 黄蜀芹 , 王小帅 , 顾长卫 , 陈家林 , 姚明 , 刘璇 , 郭富城 , 孙俪 , 陶红 , 范伟 , 蒋勤勤 , 林保怡
感光夏日‎ (2007),轩南 , 宋运成 , 陈小妹
热带往事‎ (2019),温仕培 , 彭于晏 , 张艾嘉 , 王砚辉 , 姜珮瑶
北京一夜‎ (2009),宁浩
年兽大作战‎ (2016),张扬 , 雷佳音 , 周冬雨 , 陈赫 , 陶虹 , 郭涛 , 郭子睿 , 刘仪伟 , 沈腾
疯狂的蠢贼‎ (2012),李凯 , 吴镇宇 , 林雪 , 颖儿 , 王太利 , 连晋 , 彭波
第2届中国电影导演协会年度奖‎ (2011),王小帅 , 李少红 , 徐静蕾 , 薛晓路 , 贾樟柯 , 陆川 , 宁浩 , 万玛才旦
七发左轮‎ (2014),张昊 , 王大龙 , 江海 , 秦帅 , 王笑意 , 姚月 , 卫鹏程 , 张嘉祺 , 江涛
