5833327,重庆,永辉青禾商业保理（重庆）有限公司,[],江北区,本科,产品|需求|项目类,1天前发布,金融数据分析师,12k-24k,3-5年
4792322,杭州,杭州大搜车汽车服务有限公司,"['技能培训', 'Geek', '开放', '扁平管理']",余杭区,本科,开发|测试|运维类,1天前发布,高级数据分析师 08-02-28,15k-30k,3-5年
5416436,韶关,广东精点数据科技股份有限公司,"['带薪年假', '绩效奖金', '大数据', '数据分析']",浈江区,大专,开发|测试|运维类,1天前发布,数据分析师（韶关）,5k-7k,1-3年
5880792,厦门,厦门多快好省网络科技有限公司,"['五险一金', '弹性上班', '周末双休', '年底双薪']",思明区,本科,产品|需求|项目类,1天前发布,数据分析师,8k-16k,1-3年
5289525,广州,美的集团股份有限公司,"['五险一金', '带薪年假', '免费班车', '年度旅游']",番禺区,本科,开发|测试|运维类,1天前发布,大数据数据分析师,15k-25k,5-10年
4384123,上海,上海微盟企业发展有限公司,"['绩效奖金', '年底双薪', '五险一金', '带薪年假']",宝山区,本科,产品|需求|项目类,1天前发布,数据分析师（新零售）,8k-10k,1-3年
5937522,杭州,杭州恩牛网络技术有限公司,"['节日礼物', '专项奖金', '带薪年假', '扁平管理']",西湖区,本科,产品|需求|项目类,1天前发布,数据分析师,11k-22k,1-3年
5936045,杭州,杭州脸脸会网络技术有限公司,"['股票期权', '五险一金', '节日礼物', '岗位晋升']",余杭区,大专,产品|需求|项目类,1天前发布,数据分析师,8k-10k,3-5年
5811856,上海,上海二三四五网络科技有限公司,"['鼓励内部创业', '互联网百强', '亿万用户', '提倡男女恋爱']",浦东新区,本科,产品|需求|项目类,1天前发布,数据分析师（信息流）(J11843),10k-18k,3-5年
5886603,北京,智道网联科技（北京）有限公司,[],东城区,本科,产品|需求|项目类,1天前发布,数据分析师（资深）,25k-50k,5-10年
4704007,宁波,宁波邻家网络科技有限公司,"['带薪年假', '扁平管理', '年底双薪', '五险一金']",海曙区,本科,产品|需求|项目类,1天前发布,数据分析师,14k-25k,1-3年
5933825,北京,北京掌众科技有限公司,"['技能培训', '节日礼物', '绩效奖金', '年度旅游']",海淀区,本科,产品|需求|项目类,2天前发布,数据分析师,15k-18k,1-3年
5927298,上海,乐元素科技（北京）股份有限公司,"['技能培训', '领导好', '节日礼物']",黄浦区,本科,产品|需求|项目类,2天前发布,数据分析师,20k-35k,3-5年
5927183,深圳,深圳市房多多网络科技有限公司,"['节日礼物', '带薪年假', '扁平管理', '美女多']",南山区,硕士,产品|需求|项目类,2天前发布,数据分析师,15k-25k,1-3年
5286804,北京,北京萌宝科技有限公司,"['带薪年假', '定期体检', '年度旅游', '扁平管理']",朝阳区,本科,运营|编辑|客服类,2天前发布,数据分析师,15k-30k,3-5年
5331443,广州,广东精点数据科技股份有限公司,"['带薪年假', '绩效奖金', '大数据', '数据分析']",天河区,不限,开发|测试|运维类,1天前发布,数据分析师（广州）,5k-7k,1-3年
